,open,high,low,close,volume,symbol
2024-01-01 00:00:00,58395.41322546013,57244.22601574727,59530.86893819984,53846.3838499579,675.0945201654566,BTCUSDT
2024-01-01 00:05:00,57049.103029640246,50516.10978928425,51711.373044314205,58524.784923530045,354.24969731473544,BTCUSDT
2024-01-01 00:10:00,55122.03895025074,59077.102939899465,55664.791759076834,57630.91123295196,409.0839947050485,BTCUSDT
2024-01-01 00:15:00,54304.3050430297,58933.571845702754,51143.83089860725,56799.41628768066,872.2116737808196,BTCUSDT
2024-01-01 00:20:00,57966.29787623928,55077.38963872013,54251.348080185504,58081.164282182246,529.1412924357135,BTCUSDT
2024-01-01 00:25:00,54322.31446193459,53782.646466517406,55490.19052728557,56299.64106468582,676.828733112041,BTCUSDT
2024-01-01 00:30:00,57237.64282027829,52185.8528894221,52277.36923838417,55193.623557395105,594.5995090601676,BTCUSDT
2024-01-01 00:35:00,53748.82965079915,59317.903087096536,53105.72789888809,51366.40451204158,276.2660943863289,BTCUSDT
2024-01-01 00:40:00,53208.2860844445,55901.08382336609,52148.399621331744,54809.49165839925,340.1915118337733,BTCUSDT
2024-01-01 00:45:00,59026.58545761877,54581.54062131569,52045.81309382388,52326.03010691078,887.1020877492543,BTCUSDT
2024-01-01 00:50:00,50629.07934789191,52020.77076335772,57105.61779433483,52268.63685997842,649.9845602967447,BTCUSDT
2024-01-01 00:55:00,53317.07346471861,56399.61235223716,53088.81498943215,54928.54213389361,100.3299371997026,BTCUSDT
2024-01-01 01:00:00,55314.87542294027,52714.53035876722,53279.36703554437,54879.331822995264,736.950295571282,BTCUSDT
2024-01-01 01:05:00,54056.283958848224,58146.075149864424,57205.775002525486,55823.83408133679,807.5874950005255,BTCUSDT
2024-01-01 01:10:00,52119.50891668179,50688.2579011355,59430.23105024613,57368.41859880421,584.5883441527999,BTCUSDT
2024-01-01 01:15:00,59354.45198065219,55655.310098604496,55250.78889767656,50677.63004434459,863.4229503862193,BTCUSDT
2024-01-01 01:20:00,52164.26620271241,53288.85494022883,59537.26714763015,54049.030979304756,702.6058916004589,BTCUSDT
2024-01-01 01:25:00,56670.93392511061,58629.68102237275,50176.65815236001,59031.978132522134,535.2446971871524,BTCUSDT
2024-01-01 01:30:00,52796.72058396669,52113.39573720608,53569.125948889945,57155.11152045004,694.1417421812198,BTCUSDT
2024-01-01 01:35:00,53945.26866119989,58705.33263925347,59569.317232255926,55217.27661945791,610.8262815055514,BTCUSDT
2024-01-01 01:40:00,54796.86080635568,56252.900098307495,58132.86537882486,52602.56576237846,562.7180413154013,BTCUSDT
2024-01-01 01:45:00,51584.389727440546,53269.169745272295,51133.45741122281,52163.53136395265,699.3450169684288,BTCUSDT
2024-01-01 01:50:00,54093.18917841497,59012.778213511476,50003.69286789092,58552.83010665766,267.01388833963165,BTCUSDT
2024-01-01 01:55:00,59388.84990269771,53974.20571151815,55453.72938034291,57628.46548500469,359.27868994350445,BTCUSDT
2024-01-01 02:00:00,54652.779871077546,58061.89923317232,54210.1540463663,52706.5390088761,164.50259051508274,BTCUSDT
2024-01-01 02:05:00,53747.26614686018,59349.813872981926,57361.78967681838,53019.84299443143,469.1561184862021,BTCUSDT
2024-01-01 02:10:00,55448.07248941148,51152.62346829259,57463.58911882577,54905.329482681016,560.7533388693458,BTCUSDT
2024-01-01 02:15:00,53049.11454677016,55227.550999774794,52250.49471915979,56926.53732896704,468.53120268900494,BTCUSDT
2024-01-01 02:20:00,54004.38036547676,50952.370718953,59889.62693676456,51335.653585613785,511.10523447892217,BTCUSDT
2024-01-01 02:25:00,54229.02734429406,57586.49609422853,53005.50993032964,51469.532258188665,410.7200063726054,BTCUSDT
2024-01-01 02:30:00,50107.22896565176,55990.99396412731,54052.0596508496,57354.18851189062,998.4134935470374,BTCUSDT
2024-01-01 02:35:00,50939.788677307806,52736.41491999942,56240.590823774146,51511.048234572176,109.70994770772135,BTCUSDT
2024-01-01 02:40:00,55065.924606928806,57392.95689576382,58427.09211141184,52885.79285893251,300.34868277539067,BTCUSDT
2024-01-01 02:45:00,57177.55433404814,51326.91257539494,52750.78005882709,58511.590491163886,357.2050168917171,BTCUSDT
2024-01-01 02:50:00,54435.81723006036,55000.12846615607,55415.86906031705,59117.93732292381,114.28345874528151,BTCUSDT
2024-01-01 02:55:00,55208.13110986805,52772.78746740592,56907.06713640702,57200.644310839176,268.7568208969996,BTCUSDT
2024-01-01 03:00:00,55295.359183749366,55535.40417588116,51430.3290336572,59487.71649257789,998.2393298366759,BTCUSDT
2024-01-01 03:05:00,53180.07668084099,56456.67863821654,54973.26715459891,55250.56269653285,741.2743816617674,BTCUSDT
2024-01-01 03:10:00,59078.479450231935,51696.335365131745,59454.64038683828,54761.32175713009,147.88318012327224,BTCUSDT
2024-01-01 03:15:00,59854.22657760717,53979.90901027034,56423.36783937378,54493.370623539435,484.82565165083497,BTCUSDT
2024-01-01 03:20:00,51346.876012149034,52544.51150450676,58554.782446510704,53201.12175987905,960.6862462922888,BTCUSDT
2024-01-01 03:25:00,51164.61467483452,58230.498802438866,55659.38724212603,59192.21607841669,580.8204647422068,BTCUSDT
2024-01-01 03:30:00,54291.01242959741,51148.982311116706,57141.61125328941,50346.28303377054,369.6603994575614,BTCUSDT
2024-01-01 03:35:00,51662.225213115125,56261.60699517653,55633.94941609217,53695.66418881192,245.97300814399443,BTCUSDT
2024-01-01 03:40:00,59072.2496755884,58513.42827480093,57989.751507989975,52632.923778089666,876.3519810158532,BTCUSDT
2024-01-01 03:45:00,50992.45547554145,59021.86133640109,51801.83638194772,51900.63969782587,758.5933192073468,BTCUSDT
2024-01-01 03:50:00,51358.893733704164,55128.53207775109,55009.325670307495,53393.971814754914,448.5044787402325,BTCUSDT
2024-01-01 03:55:00,56253.66060958377,58697.69458719849,51866.0689902251,51953.29640494901,641.4714641061822,BTCUSDT
2024-01-01 04:00:00,59618.807586977135,54434.71655839349,55458.4269409228,59124.55540030317,690.8455569999185,BTCUSDT
2024-01-01 04:05:00,51320.48867290169,56404.2545754353,53977.27046590924,57551.73992651401,428.4386271188772,BTCUSDT
2024-01-01 04:10:00,58085.662328583814,57649.650823850636,54231.97136376482,58777.08048446176,942.9838789043955,BTCUSDT
2024-01-01 04:15:00,52933.55816576922,50305.731737817056,52412.10631417796,56825.62548231629,558.1553475660023,BTCUSDT
2024-01-01 04:20:00,53972.63152460668,55065.93808367146,51244.34891609311,51660.086247555395,149.3685373011019,BTCUSDT
2024-01-01 04:25:00,56796.89203595912,55236.648261651615,53306.47934391372,59489.57480097787,799.2926451085135,BTCUSDT
